id,brand,model,year,price,distance,location,was_in_accident,img_url
1871040,Mitsubishi,Eclipse Cross,2021,29654,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/mitsubishi-eclipse-cross__1386695-341x224x60.jpg
31965303,Chevrolet,Captiva,2010,10950,224,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/chevrolet_captiva__435528590bx.jpg
1865981,Chery,Tiggo 7 Pro,2021,21900,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/chery-tiggo-7-pro__1323039-341x224x60.jpg
1871171,Chery,Tiggo 4,2021,15400,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/chery-tiggo-4__1263754-341x224x60.jpg
1872349,Chery,Tiggo 7 Pro,2021,22200,0,Чернівці,false,https://cdn.riastatic.com/photosnewr/auto/new_auto_storage/chery-tiggo-7-pro__1404357-341x224x60.jpg
31944063,Peugeot,206,2010,5700,154,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/peugeot_206__435037339bx.jpg
31921474,Citroen,Berlingo пасс.,2012,8500,241,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/citroen_berlingo-pass__434493044bx.jpg
31889357,Hyundai,Tucson,2011,11200,119,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/hyundai_tucson__433747207bx.jpg
31854101,Kia,Sportage,2012,12954,145,Чернівці,true,https://cdn2.riastatic.com/photosnew/auto/photo/kia_sportage__432942127bx.jpg
31835934,Volkswagen,Golf IV,1999,4400,120,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/volkswagen_golf-iv__432545482bx.jpg
31792378,Mercedes-Benz,GL 350,2014,43500,200,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/mercedes-benz_gl-350__431471151bx.jpg
32012418,Opel,Insignia,2013,13550,180,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/opel_insignia__436469344bx.jpg
32010028,Fiat,500,2016,11300,64,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/fiat_500__436413800bx.jpg
31126698,Skoda,Octavia A7,2014,12000,253,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/skoda_octavia-a7__436144133bx.jpg
31989558,Volkswagen,Golf VII,2014,12944,198,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/volkswagen_golf-vii__436124382bx.jpg
31982144,Skoda,Superb,2010,10900,223,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/skoda_superb__435929879bx.jpg
31767341,Mercedes-Benz,ML 300,2011,19999,300,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/mercedes-benz_ml-300__430876853bx.jpg
31956391,Mercedes-Benz,Vito 111,2010,10150,535,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/mercedes-benz_vito-111__435319216bx.jpg
31948136,BMW,520,1991,2900,242,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/bmw_520__435127948bx.jpg
31949283,Hyundai,ix35,2011,12300,170,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/hyundai_ix35__435151842bx.jpg
31943733,Volkswagen,Golf Plus,2005,6350,185,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/volkswagen_golf-plus__435026914bx.jpg
31736585,Mercedes-Benz,S 550,2007,14550,206,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/mercedes-benz_s-550__430149296bx.jpg
31920185,Mitsubishi,Pajero Wagon,2007,12800,200,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/mitsubishi_pajero-wagon__434467373bx.jpg
30243408,Volkswagen,Caravelle,2000,12500,235,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/volkswagen_caravelle__424546530bx.jpg
31907997,BMW,X5,2010,17999,195,Чернівці,true,https://cdn2.riastatic.com/photosnew/auto/photo/bmw_x5__434162172bx.jpg
31248624,Volkswagen,Golf GTI,2021,39600,10,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/volkswagen_golf-gti__419090559bx.jpg
31892263,Nissan,Leaf,2018,19500,30,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/nissan_leaf__433811100bx.jpg
31891743,Mazda,5,2009,7200,120,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/mazda_5__433795740bx.jpg
31591030,Nissan,Leaf,2020,29000,2,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/nissan_leaf__426810072bx.jpg
31361202,Volkswagen,Arteon,2021,54900,16,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/volkswagen_arteon__425181013bx.jpg
31827355,Volkswagen,Touareg,2016,36900,128,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/volkswagen_touareg__433591006bx.jpg
31496715,Volkswagen,Golf VI,2008,8200,211,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/volkswagen_golf-vi__424688091bx.jpg
31823850,Nissan,Juke,2016,14800,65,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/nissan_juke__432243760bx.jpg
31524556,Hyundai,Veloster,2019,16500,42,Чернівці,true,https://cdn4.riastatic.com/photosnew/auto/photo/hyundai_veloster__425331354bx.jpg
31770099,Honda,CR-V,2018,23900,154,Чернівці,false,https://cdn3.riastatic.com/photosnew/auto/photo/honda_cr-v__430942038bx.jpg
32008989,Volkswagen,Caddy пасс.,2009,9200,210,Чернівці,false,https://cdn0.riastatic.com/photosnew/auto/photo/volkswagen_caddy-pass__436390980bx.jpg
31996800,Honda,CR-V,2014,18300,211,Чернівці,false,https://cdn4.riastatic.com/photosnew/auto/photo/honda_cr-v__436285689bx.jpg
31996145,Nissan,Qashqai,2020,23800,26,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/nissan_qashqai__436273557bx.jpg
31905968,Toyota,Land Cruiser Prado 120,2005,14999,245,Чернівці,false,https://cdn2.riastatic.com/photosnew/auto/photo/toyota_land-cruiser-prado-120__434110647bx.jpg
31993514,Ford,Focus,2007,5500,288,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/ford_focus__436216461bx.jpg
31704151,Skoda,Fabia,2016,8650,199,Чернівці,false,https://cdn1.riastatic.com/photosnew/auto/photo/skoda_fabia__434336936bx.jpg
